店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
CoCo都可（上海新角里店）,https://www.meituan.com/meishi/4249769/,4.4,249,13.0,朱家角/东方绿舟
茶百道（朱家角店）,https://www.meituan.com/meishi/1682382543/,4.7,19,16.0,朱家角/东方绿舟
茶百道（乐尚天地店）,https://www.meituan.com/meishi/559923598/,4.7,91,15.0,车墩影视城
蜜雪冰城（广富林路店）,https://www.meituan.com/meishi/1891704725/,4.8,1278,5.0,松江万达广场
CoCo都可（嘉定大融城店）,https://www.meituan.com/meishi/104589673/,4.2,755,13.0,马陆镇
快乐柠檬happylemon（尚都里广场店）,https://www.meituan.com/meishi/195851511/,4.4,87,19.0,朱家角/东方绿舟
茶百道（陈彷公路店）,https://www.meituan.com/meishi/605809971/,4.7,8,15.0,陈家镇
桂源铺（青浦万达茂店）,https://www.meituan.com/meishi/1482266795/,4.5,326,20.0,青浦城区
蜜雪冰城（西林街店）,https://www.meituan.com/meishi/1078199090/,3.7,27,7.0,朱泾镇
茶百道（上海中侨大学店）,https://www.meituan.com/meishi/1469823893/,4.8,35,15.0,金山区
悸动烧仙草（浦东佳林路店）,https://www.meituan.com/meishi/1268168211/,4.4,237,15.0,金桥
悸动烧仙草（朱家角店）,https://www.meituan.com/meishi/189926352/,4.4,282,15.0,朱家角/东方绿舟
1点点（金山万达店）,https://www.meituan.com/meishi/86814258/,4.5,0,14.0,金山卫
茶百道（青浦吾悦店）,https://www.meituan.com/meishi/904342926/,4.8,103,16.0,青浦城区
CoCo都可（富绅中心店）,https://www.meituan.com/meishi/1176263275/,4.6,345,13.0,家乐福/富绅国际
CoCo都可（朱泾盒马店）,https://www.meituan.com/meishi/722250559/,4.1,321,13.0,朱泾镇
悸动烧仙草（松江仓汇路店）,https://www.meituan.com/meishi/1212936736/,5.0,0,16.0,松江区
CoCo都可（金山张堰店）,https://www.meituan.com/meishi/180667377/,4.3,509,13.0,金山区
娃哈哈奶茶（乐尚天地店）,https://www.meituan.com/meishi/1356557181/,4.6,51,15.0,车墩影视城
茶百道（崇明堡镇店）,https://www.meituan.com/meishi/1219915355/,4.9,35,15.0,堡镇
CoCo都可（盛桥店）,https://www.meituan.com/meishi/165637655/,4.7,307,13.0,宝山区
巡茶（悠迈生活广场店）,https://www.meituan.com/meishi/178005761/,4.1,273,17.0,青浦城区
1点点（川沙百联店）,https://www.meituan.com/meishi/157815789/,4.0,0,18.0,川沙
悸动烧仙草（港城新天地店）,https://www.meituan.com/meishi/1218744096/,4.6,80,17.0,南汇新城
茶百道（上海苏杭时代店）,https://www.meituan.com/meishi/835856166/,5.0,27,15.0,华新镇
1点点（万安店）,https://www.meituan.com/meishi/184188580/,4.3,0,17.0,朱泾镇
悸动烧仙草（崇明八一路店）,https://www.meituan.com/meishi/42218983/,4.4,1021,15.0,南门
1点点（新溪路店）,https://www.meituan.com/meishi/182044132/,4.3,0,15.0,朱家角/东方绿舟
茶百道（浦东惠南店）,https://www.meituan.com/meishi/786723337/,4.8,62,16.0,惠南镇
茶百道（森兰商都店）,https://www.meituan.com/meishi/802041385/,4.5,33,16.0,外高桥
悸动烧仙草（鹿溪北路店）,https://www.meituan.com/meishi/1341328672/,4.5,141,15.0,迪士尼
悸动烧仙草（浦东川黄路店）,https://www.meituan.com/meishi/1539023436/,4.1,113,15.0,川沙
CoCo都可（金山张堰店）,https://www.meituan.com/meishi/180667377/,4.3,509,13.0,金山区
珍奶会所（鹿都国际商业广场店）,https://www.meituan.com/meishi/90924981/,4.7,447,15.0,松江镇
CoCo都可（青浦区宝龙广场店）,https://www.meituan.com/meishi/165580376/,4.0,332,12.0,青浦城区
KOI Thé（莘庄维璟印象城店）,https://www.meituan.com/meishi/158657671/,4.2,72,23.0,七宝
1点点（青浦万达茂广场店）,https://www.meituan.com/meishi/195960789/,3.9,0,15.0,青浦城区
茶百道（金山百联店）,https://www.meituan.com/meishi/1052040247/,4.5,91,16.0,金山卫
