店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
诚斋茶楼,https://www.meituan.com/meishi/89955124/,4.5,16,49.0,朱家角/东方绿舟
听云台·茗茶空间,https://www.meituan.com/meishi/169646766/,5.0,10,253.0,虹桥/古北
雅心茶室·芃丞香舍,https://www.meituan.com/meishi/1968954406/,4.8,17,139.0,虹桥枢纽
青隐茶室,https://www.meituan.com/meishi/1162071248/,4.1,28,85.0,青浦城区
隐溪茶馆（吴中路店）,https://www.meituan.com/meishi/159281205/,4.2,30,149.0,虹桥/古北
半盏茶室,https://www.meituan.com/meishi/541584541/,5.0,59,152.0,虹梅路
隐溪茶馆（中山公园店）,https://www.meituan.com/meishi/165956118/,4.2,38,165.0,中山公园/江苏路
茗怡茶舍（嘉定店）,https://www.meituan.com/meishi/1440832048/,4.6,27,63.0,嘉定新城
隐溪茶馆 （长风公园店）,https://www.meituan.com/meishi/1232267248/,4.5,1,156.0,长风公园/华师大
卿与·茶馆,https://www.meituan.com/meishi/163567608/,4.6,24,169.0,人民广场/南京路
遇到你要的時光茶馆（淮海店）,https://www.meituan.com/meishi/5968496/,5.0,198,203.0,衡山路/复兴西路
松茗园,https://www.meituan.com/meishi/1794095975/,4.5,6,153.0,嘉定镇
桂园茶馆（漕宝路店）,https://www.meituan.com/meishi/400009/,4.0,0,424.0,漕河泾/田林
六克茶方茶馆（中山公园三店）,https://www.meituan.com/meishi/845616022/,4.5,12,165.0,中山公园/江苏路
隐溪茶馆（南京西路店）,https://www.meituan.com/meishi/165955068/,4.0,32,156.0,南京西路
朴溪茶馆（徐汇漕河泾店）,https://www.meituan.com/meishi/1506922842/,4.3,23,113.0,漕河泾/田林
沐白茶事（华山路店）,https://www.meituan.com/meishi/1622979125/,4.2,10,160.0,静安寺
半谷花艺茶道,https://www.meituan.com/meishi/761489276/,5.0,131,93.0,江桥
梧桐茶庄——休闲、聚会,https://www.meituan.com/meishi/168501005/,4.0,8,92.0,江桥
岩韵茶书院,https://www.meituan.com/meishi/1300958449/,4.1,12,113.0,新松江路
敬茶坊（东下塘街店）,https://www.meituan.com/meishi/1604053/,5.0,46,109.0,嘉定镇
朴未茶書房,https://www.meituan.com/meishi/168815677/,4.0,7,118.0,松江万达广场
隐溪茶馆（肇嘉浜路店）,https://www.meituan.com/meishi/112896217/,5.0,68,166.0,肇嘉浜路/中山医院
黄隆泰·老茶馆（浙江中路店）,https://www.meituan.com/meishi/1604987/,4.4,99,81.0,人民广场/南京路
品茶季节茶苑,https://www.meituan.com/meishi/184551939/,4.8,36,81.0,南翔
乾和祥茶室,https://www.meituan.com/meishi/156821423/,5.0,241,0.0,朱泾镇
阅洱居· 茶文化空间,https://www.meituan.com/meishi/182040617/,4.0,6,89.0,安亭镇
隐溪茶馆（万象城店）,https://www.meituan.com/meishi/1455812956/,4.5,0,164.0,龙柏地区
